study,descrp_measure,units...42,mean_t1,sd_t1,n_t1,mean_t2,sd_t2,n_t2,SMDH,v_SMDH,Notes from Dan
s6,oxidized glutathione,nmol/mg,0.491,0.004898979,6,0.416,0.004898979,6,14.12659939,10.37804051,"Seems odd that the SD is exactly the same for both t1 and t2, CHECK"
s10,"myeloperoxidase (MPO) activity, neutrophil infiltrate in tissues",mU/mg,0.071013699,0.009870317,12,0.026520548,0.006074041,12,5.241704517,0.933072246,fine
s14,energy metabolism,nmol/mg,5.5,0.4,4,10.1,0.2,4,-12.63545834,18.76087818,Very small SD relative to mean. Best to check SD CHECK
s14,ros production,percent,72.3,4,4,2.1,0.1,4,21.55210095,77.98552734,Seems like an error in sd_t2. If percentage then 0.1 seems small CHECK
s16,"malondialdehyde levels, lipid peroxidation",nmol/g,5.218253968,0.537914354,15,1.468253968,0.307379631,15,8.328312894,1.70069006,"Seems like small SD, Check it's SD"
s16,catalase (CAT) activity,U/g,2.433070866,0.228719489,15,4.996062992,0.548926773,15,-5.930185641,1.08220558,Fine
s19,"provides an estimate of oxidative damage, calculated by substraction between sum of standardized values of antioxidant (GSH and redox) and oxidative biomarkers (MDA, carbonyls, and GSSG content)",unitless,-1.177777778,0.99380799,5,11.08888889,1.788854382,5,-7.652462248,5.18153082,Fine
s22,"catalase, converts H2O2 to molecular oxygen and water",ug/g,336.36,7.638344061,3,454.02,17.51103366,3,-6.949427252,9.830608499,"SD seems awfully low relative to mean, CHECK"
s22,"catalase, converts H2O2 to molecular oxygen and water",ug/g,558.35,3.741229744,3,298.92,44.23657763,3,6.593956674,11.71676786,fine
s22,glutathione peroxidase; isozyme that use GSH to reduce H2O2 and organic and lipid hydroperoxides,U/g,31.15,1.420281662,3,84.55,4.711178197,3,-12.24552463,32.76214198,check SD is not SE
s22,glutathione peroxidase; isozyme that use GSH to reduce H2O2 and organic and lipid hydroperoxides,U/g,27.13,3.273576026,3,83.97,5.248113947,3,-10.36913005,17.0394771,check SD is not SE
s22,glutathione peroxidase; isozyme that use GSH to reduce H2O2 and organic and lipid hydroperoxides,U/g,19.38,1.299038106,3,110.25,4.832421753,3,-20.49085875,92.77404604,check SD is not SE
s22,glutathione peroxidase; isozyme that use GSH to reduce H2O2 and organic and lipid hydroperoxides,U/g,11.8,0.90066642,3,50.24,3.897114317,3,-10.84416435,27.56884091,check SD is not SE
s22,glutathione reductase; maintains reduced glutathione and glutathione-S-transferase,U/g,2.41,0.190525589,3,23.16,2.182384018,3,-10.68792163,29.12916545,check SD is not SE
s22,glutathione reductase; maintains reduced glutathione and glutathione-S-transferase,U/g,2.41,0.138564065,3,14.51,1.299038106,3,-10.45109596,27.69888243,check SD is not SE
s22,glutathione reductase; maintains reduced glutathione and glutathione-S-transferase,U/g,1.31,0.051961524,3,11.06,1.766691824,3,-6.224595199,10.66966683,check SD is not SE
s22,glutthione-S-transferase; the oxidised glutathione (GSSG) is reduced back to GSH by GR using NADPH as the electron donor,ug/g,117.57,4.434050067,3,259.66,21.56403255,3,-7.282764489,13.22753454,fine
s22,glutthione-S-transferase; the oxidised glutathione (GSSG) is reduced back to GSH by GR using NADPH as the electron donor,ug/g,144.39,9.162548772,3,77.95,5.733088173,3,6.936253658,8.163933405,fine
s22,"reduced glutathione, protects cells against apoptosis, scavenges, hydroxyl radical and signlet oxygen directly, detoxifying H2O2 and lipid peroxides by the catalytic action of GSHpx",ug/g,118.23,8.487048957,3,261.95,14.68779085,3,-9.559961646,15.27301768,check SD is not SE
s22,GSSG is reduced back to GSH by the enzyme glutathione reductase,ug/g,24.39,0.866025404,3,18.8,0.727461339,3,5.576961441,5.003643826,check SD is not SE
s23,"alanine aminotransferase, enzyme that catalyzes the formation of pyruvate and glutamate",U/mg,164.9184149,3.496503497,3,64.1025641,19.81351981,3,5.654094135,8.524024779,fine
s26,superoxide dismutase,U/mg,271.0382514,10.92896175,9,172.6775956,13.1147541,9,7.759171026,2.192577532,fine
s26,collection time not specified but nothing indicates fish were restrained before blood was collected,ng/ml,28.5483871,0.725806452,9,22.74193548,0.725806452,9,7.618030684,2.063574734,check SD is not SE
s28,catlase,U/mg,5.224952324,0.30377513,20,0.571256296,0.139367299,20,19.29996046,7.091420062,check SD is not SE
s28,catlase,U/mg,6.950942736,1.173851789,20,0.991174882,0.247201435,20,6.886260124,1.251688998,Check mean for t2. Seems veru low relative to t1
s28,catlase,U/mg,16.50802307,2.856916086,20,2.043012179,1.037025169,20,6.596811952,1.014864054,fine
s28,catlase,U/mg,7.646522279,1.407534771,20,1.309744395,0.239519391,20,6.151777246,1.046690138,fine
