"study","author","year","class","order","family","genus","species","common_name","stage","sex","prenatal_trt_start","prenatal_trt_end","prenatal_dur","prenatal_unit","post_natal_trt_start","postnatal_trt_end","dur_trt_postnatal","postnatal_unit","total_trt_duration","total_trt_unit","prenatal_measure_delay","postnatal_measure_delay","measure_delay_units","envirn_type","nutrition_sum","nutrition_type","fasting_period","fasting_period_units","tissue_sum","tissue","mito_preparation","mito_efficiency_dir","respiration_category","antioxidant_category","oxidative_damage_category","measurement_category","measure_listed","descrp_measure","units...42","ref","t1","t2","dose","units...48","mean_t1","sd_t1","n_t1","mean_t2","sd_t2","n_t2","sample_depend","CORT_values_available","observation","species_phylo","SMDH","v_SMDH","species_phylo2"
"s10","Abelaira","2021","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Wistar rat","postnatal","male","NA","NA","NA","NA","1","10","10","days",10,"days","NA","60","days","care deprivation","NA","NA","NA","NA","brain","prefrontal cortex","NA","NA","NA","enzymatic","NA","antioxidant","SOD","superoxide disumtase (SOD) activity","U/mg","figure3a","maternal deprivation","control",3,"hours",0.290909090909091,0.194676784982948,12,0.487603305785124,0.160322058221251,12,"1","NA",170,"Rattus_norvegicus",-1.06487971566085,0.208537812856512,"Rattus_norvegicus"
"s10","Abelaira","2021","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Wistar rat","postnatal","male","NA","NA","NA","NA","1","10","10","days",10,"days","NA","60","days","care deprivation","NA","NA","NA","NA","brain","hippocampus","NA","NA","NA","enzymatic","NA","antioxidant","SOD","superoxide disumtase (SOD) activity","U/mg","figure3a","maternal deprivation","control",3,"hours",0.201652892561983,0.0744352413170104,12,0.51900826446281,0.131693119253171,12,"1","NA",171,"Rattus_norvegicus",-2.86436247418393,0.417887535277382,"Rattus_norvegicus"
"s10","Abelaira","2021","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Wistar rat","postnatal","female","NA","NA","NA","NA","1","10","10","days",10,"days","NA","60","days","care deprivation","NA","NA","NA","NA","brain","prefrontal cortex","NA","NA","NA","enzymatic","NA","antioxidant","SOD","superoxide disumtase (SOD) activity","U/mg","figure3a","maternal deprivation","control",3,"hours",0.295867768595041,0.137418907046787,12,0.375206611570248,0.1774994216021,12,"1","NA",172,"Rattus_norvegicus",-0.482568268929345,0.187442807149337,"Rattus_norvegicus"
"s10","Abelaira","2021","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Wistar rat","postnatal","female","NA","NA","NA","NA","1","10","10","days",10,"days","NA","60","days","care deprivation","NA","NA","NA","NA","brain","hippocampus","NA","NA","NA","enzymatic","NA","antioxidant","SOD","superoxide disumtase (SOD) activity","U/mg","figure3a","maternal deprivation","control",3,"hours",0.188429752066116,0.0916126046978575,12,0.398347107438016,0.0687094535233937,12,"1","NA",173,"Rattus_norvegicus",-2.50281173921339,0.335344759625835,"Rattus_norvegicus"
"s10","Abelaira","2021","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Wistar rat","postnatal","male","NA","NA","NA","NA","1","10","10","days",10,"days","NA","60","days","care deprivation","NA","NA","NA","NA","brain","prefrontal cortex","NA","NA","NA","enzymatic","NA","antioxidant","CAT","catalase (CAT) activity","U/mg","figure3b","maternal deprivation","control",3,"hours",0.166771159874608,0.0912177227810566,12,0.561755485893417,0.304059075936856,12,"1","NA",174,"Rattus_norvegicus",-1.69884486905574,0.293128489628929,"Rattus_norvegicus"
"s10","Abelaira","2021","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Wistar rat","postnatal","male","NA","NA","NA","NA","1","10","10","days",10,"days","NA","60","days","care deprivation","NA","NA","NA","NA","brain","hippocampus","NA","NA","NA","enzymatic","NA","antioxidant","CAT","catalase (CAT) activity","U/mg","figure3b","maternal deprivation","control",3,"hours",0.133855799373041,0.0380073844921068,12,0.427899686520376,0.311660552835276,12,"1","NA",175,"Rattus_norvegicus",-1.27870317341595,0.253993752209081,"Rattus_norvegicus"
"s10","Abelaira","2021","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Wistar rat","postnatal","female","NA","NA","NA","NA","1","10","10","days",10,"days","NA","60","days","care deprivation","NA","NA","NA","NA","brain","prefrontal cortex","NA","NA","NA","enzymatic","NA","antioxidant","CAT","catalase (CAT) activity","U/mg","figure3b","maternal deprivation","control",3,"hours",0.162382445141066,0.0988191996794784,12,0.550783699059561,0.228044306952641,12,"1","NA",176,"Rattus_norvegicus",-2.133727093449,0.333675005818573,"Rattus_norvegicus"
"s10","Abelaira","2021","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Wistar rat","postnatal","female","NA","NA","NA","NA","1","10","10","days",10,"days","NA","60","days","care deprivation","NA","NA","NA","NA","brain","hippocampus","NA","NA","NA","enzymatic","NA","antioxidant","CAT","catalase (CAT) activity","U/mg","figure3b","maternal deprivation","control",3,"hours",0.184326018808778,0.0760147689842142,12,0.430094043887148,0.0684132920857925,12,"1","NA",177,"Rattus_norvegicus",-3.2812037050487,0.429203039512632,"Rattus_norvegicus"
"s10","Abelaira","2021","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Wistar rat","postnatal","male","NA","NA","NA","NA","1","10","10","days",10,"days","NA","60","days","care deprivation","NA","NA","NA","NA","brain","prefrontal cortex","NA","NA","NA","enzymatic","NA","antioxidant","MPO","myeloperoxidase (MPO) activity, neutrophil infiltrate in tissues","mU/mg","figure4a","maternal deprivation","control",3,"hours",0.0458082191780822,0.0258146750497936,12,0.0366027397260274,0.00683329633671002,12,"1","NA",178,"Rattus_norvegicus",0.47067258032113,0.19065545785847,"Rattus_norvegicus"
"s10","Abelaira","2021","Mammalia","Rodentia","Muridae","Rattus","norvegicus","Wistar rat","postnatal","male","NA","NA","NA","NA","1","10","10","days",10,"days","NA","60","days","care deprivation","NA","NA","NA","NA","brain","hippocampus","NA","NA","NA","enzymatic","NA","antioxidant","MPO","myeloperoxidase (MPO) activity, neutrophil infiltrate in tissues","mU/mg","figure4a","maternal deprivation","control",3,"hours",0.071013698630137,0.00987031693080345,12,0.0265205479452054,0.00607404118818682,12,"1","NA",179,"Rattus_norvegicus",5.24170451687354,0.933072245567848,"Rattus_norvegicus"
