"study","author","year","class","order","family","genus","species","common_name","stage","sex","prenatal_trt_start","prenatal_trt_end","prenatal_dur","prenatal_unit","post_natal_trt_start","postnatal_trt_end","dur_trt_postnatal","postnatal_unit","total_trt_duration","total_trt_unit","prenatal_measure_delay","postnatal_measure_delay","measure_delay_units","envirn_type","nutrition_sum","nutrition_type","fasting_period","fasting_period_units","tissue_sum","tissue","mito_preparation","mito_efficiency_dir","respiration_category","antioxidant_category","oxidative_damage_category","measurement_category","measure_listed","descrp_measure","units...42","ref","t1","t2","dose","units...48","mean_t1","sd_t1","n_t1","mean_t2","sd_t2","n_t2","sample_depend","observation","SMDH","v_SMDH"
"s2","Stier","2022","Aves","Galliformes","Phasianidae","Cortunix","japonica","japnese quail","prenatal","both","0","16.5","16.5","days","NA","NA","NA","NA",16.5,"days","20","NA","days","temp","NA","NA","NA","NA","erythrocyte","erythrocyte","homogenate","NA","total oxphos","NA","NA","respiration","Routine","baseline - background; as per Stier et al. 2017","pmolO2/s/ml","figure1a","38.4","37",1.4,"celsius",35.6489165508304,7.95508150442927,16,31.8986638415994,4.5740836312599,20,"1",10,0.565110067710224,0.132889978692961
"s2","Stier","2022","Aves","Galliformes","Phasianidae","Cortunix","japonica","japnese quail","prenatal","both","0","16.5","16.5","days","NA","NA","NA","NA",16.5,"days","20","NA","days","temp","NA","NA","NA","NA","erythrocyte","erythrocyte","homogenate","NA","atp-linked oxphos","NA","NA","respiration","OXPHOS","oxygen consumption linked to ATP synthesis; as per Stier et al. 2017","pmolO2/s/ml","figure1b","38.4","37",1.4,"celsius",30.5692307692308,7.01538461538459,16,27.8,3.92171922207656,20,"1",11,0.476431983914494,0.13138078200867
"s2","Stier","2022","Aves","Galliformes","Phasianidae","Cortunix","japonica","japnese quail","prenatal","both","0","16.5","16.5","days","NA","NA","NA","NA",16.5,"days","20","NA","days","temp","NA","NA","NA","NA","erythrocyte","erythrocyte","homogenate","NA","leak","NA","NA","respiration","Leak","oxygen consumption linked to proton leak following the addition of oligomycin","pmolO2/s/ml","figure1c","38.4","37",1.4,"celsius",5.03482587064677,2.02985074626866,16,3.76119402985075,1.46846255238792,20,"1",12,0.702945967321964,0.132322223641186
"s2","Stier","2022","Aves","Galliformes","Phasianidae","Cortunix","japonica","japnese quail","prenatal","both","0","16.5","16.5","days","NA","NA","NA","NA",16.5,"days","20","NA","days","temp","NA","NA","NA","NA","erythrocyte","erythrocyte","homogenate","NA","ets","NA","NA","respiration","ETS","maximal oxygen consumption of the ETS; Stier et al. 2017","pmolO2/s/ml","figure1d","38.4","37",1.4,"celsius",50.242214532872,7.50920859629374,14,47.0588235294118,7.48701297726933,18,"1",13,0.413840366944691,0.138708564028261
"s2","Stier","2022","Aves","Galliformes","Phasianidae","Cortunix","japonica","japnese quail","prenatal","both","0","16.5","16.5","days","NA","NA","NA","NA",16.5,"days","20","NA","days","temp","NA","NA","NA","NA","erythrocyte","erythrocyte","homogenate","1","mitochondrial efficiency","NA","NA","respiration","OxCE","OXPHOS coupling efficiency (OXPHOS/Routine); proportion of respiration linked to ATP synthesis","unitless","figure1e","38.4","37",1.4,"celsius",0.856227758007117,0.0520996441281136,16,0.879288256227758,0.0525197460907423,20,"1",14,-0.431033376599519,0.121951023496117
"s2","Stier","2022","Aves","Galliformes","Phasianidae","Cortunix","japonica","japnese quail","prenatal","both","0","16.5","16.5","days","NA","NA","NA","NA",16.5,"days","20","NA","days","temp","NA","NA","NA","NA","erythrocyte","erythrocyte","homogenate","1","mitochondrial capacity","NA","NA","respiration","FCR(R/ETS)","routine/ETS; proportion of maximal capacity used under endogenous conditions; Stier et al. 2017","unitless","figure1f","38.4","37",1.4,"celsius",0.689153439153439,0.0989856451527496,14,0.675925925925926,0.0785674201318385,18,"1",15,0.144285396309738,0.140247928463523
"s2","Stier","2022","Aves","Galliformes","Phasianidae","Cortunix","japonica","japnese quail","prenatal","both","0","16.5","16.5","days","NA","NA","NA","NA",16.5,"days","60","NA","days","temp","NA","NA","NA","NA","erythrocyte","erythrocyte","homogenate","NA","total oxphos","NA","NA","respiration","Routine","baseline - background; as per Stier et al. 2017","pmolO2/s/ml","figure1a","38.4","37",1.4,"celsius",30.2508255299676,6.36406520354343,16,31.444087755632,3.81173635938326,20,"1",16,-0.22242133058641,0.126906150118963
"s2","Stier","2022","Aves","Galliformes","Phasianidae","Cortunix","japonica","japnese quail","prenatal","both","0","16.5","16.5","days","NA","NA","NA","NA",16.5,"days","60","NA","days","temp","NA","NA","NA","NA","erythrocyte","erythrocyte","homogenate","NA","atp-linked oxphos","NA","NA","respiration","OXPHOS","oxygen consumption linked to ATP synthesis; as per Stier et al. 2017","pmolO2/s/ml","figure1b","38.4","37",1.4,"celsius",25.0307692307692,5.16923076923078,16,25.4923076923077,3.09609412269202,20,"1",17,-0.105914919326871,0.126145298299413
"s2","Stier","2022","Aves","Galliformes","Phasianidae","Cortunix","japonica","japnese quail","prenatal","both","0","16.5","16.5","days","NA","NA","NA","NA",16.5,"days","20","NA","days","temp","NA","NA","NA","NA","erythrocyte","erythrocyte","homogenate","NA","leak","NA","NA","respiration","Leak","oxygen consumption linked to proton leak following the addition of oligomycin","pmolO2/s/ml","figure1c","38.4","37",1.4,"celsius",5.08457711442786,2.50746268656716,16,5.29353233830846,0.711981843582011,20,"1",18,-0.110847061023766,0.131591565922284
"s2","Stier","2022","Aves","Galliformes","Phasianidae","Cortunix","japonica","japnese quail","prenatal","both","0","16.5","16.5","days","NA","NA","NA","NA",16.5,"days","60","NA","days","temp","NA","NA","NA","NA","erythrocyte","erythrocyte","homogenate","NA","ets","NA","NA","respiration","ETS","maximal oxygen consumption of the ETS; Stier et al. 2017","pmolO2/s/ml","figure1d","38.4","37",1.4,"celsius",53.3910034602076,10.6164673257946,14,47.3702422145329,4.40412528074667,18,"1",19,0.722105782763385,0.163460262400026
"s2","Stier","2022","Aves","Galliformes","Phasianidae","Cortunix","japonica","japnese quail","prenatal","both","0","16.5","16.5","days","NA","NA","NA","NA",16.5,"days","60","NA","days","temp","NA","NA","NA","NA","erythrocyte","erythrocyte","homogenate","1","mitochondrial efficiency","NA","NA","respiration","OxCE","OXPHOS coupling efficiency (OXPHOS/Routine); proportion of respiration linked to ATP synthesis","unitless","figure1e","38.4","37",1.4,"celsius",0.831672597864769,0.0512455516014239,16,0.813523131672598,0.0315118476544456,20,"1",20,0.417163479271843,0.129030620482052
"s2","Stier","2022","Aves","Galliformes","Phasianidae","Cortunix","japonica","japnese quail","prenatal","both","0","16.5","16.5","days","NA","NA","NA","NA",16.5,"days","60","NA","days","temp","NA","NA","NA","NA","erythrocyte","erythrocyte","homogenate","1","mitochondrial capacity","NA","NA","respiration","FCR(R/ETS)","routine/ETS; proportion of maximal capacity used under endogenous conditions; Stier et al. 2017","unitless","figure1f","38.4","37",1.4,"celsius",0.571869488536155,0.122082295688391,14,0.599647266313933,0.0710848086907108,18,"1",21,-0.271055717738823,0.14639525739477
"s2","Stier","2022","Aves","Galliformes","Phasianidae","Cortunix","japonica","japnese quail","prenatal","both","0","16.5","16.5","days","NA","NA","NA","NA",16.5,"days","20","NA","days","temp","NA","NA","NA","NA","erythrocyte","erythrocyte","homogenate","NA","total oxphos","NA","NA","respiration","Routine","baseline - background; as per Stier et al. 2017","pmolO2/s/ml","figure1a","37.700000000000003","37",0.7,"celsius",30.3527217111024,4.7605668040919,20,31.8986638415994,4.5740836312599,20,"2",22,-0.324573845842533,0.106651529284796
"s2","Stier","2022","Aves","Galliformes","Phasianidae","Cortunix","japonica","japnese quail","prenatal","both","0","16.5","16.5","days","NA","NA","NA","NA",16.5,"days","20","NA","days","temp","NA","NA","NA","NA","erythrocyte","erythrocyte","homogenate","NA","atp-linked oxphos","NA","NA","respiration","OXPHOS","oxygen consumption linked to ATP synthesis; as per Stier et al. 2017","pmolO2/s/ml","figure1b","37.700000000000003","37",0.7,"celsius",26.7241246478272,3.96593277484606,20,27.8,3.92171922207656,20,"2",23,-0.2673698227775,0.106203889555207
