Mus musculus
Rattus norvegicus
Oryctolagus cuniculus
Capra hircus
Ovis aries
Taeniopygia guttata
Tachycineta bicolor
Parus major
Larus michahellis
Aptenodytes patagonicus
Columba livia
Meleagris gallopavo
Gallus gallus
Coturnix japonica
Alligator mississippiensis
Mauremys mutica
Trachemys scripta elegans
Chrysemys picta
Rana kukunoris
Triturus macedonicus
Triturus ivanbureschi
Tor putitora
Danio rerio
Piaractus mesopotamicus
Oncorhynchus nerka
Oncorhynchus gorbuscha
Oncorhynchus mykiss
Oncorhynchus tshawytscha
Salmo marmoratus
Symphysodon aequifasciata
Oreochromis mossambicus
Dicentrarchus labrax
Sparus aurata
Pagrus major
Gasterosteus aculeatus
Sander lucioperca
Lateolabrax maculatus
Pampus argenteus
Genypterus chilensis
Gadus morhua
Boreogadus saida
